Nombre,Artista
Rio Concert,Francisca Valenzuela
Mil Rosas,La Oreja de Van Gogh
Bachata en vivo,Prince Royce
Como si no importara,Emilia
Epic Show,The Martinez Brothers
Niño Blessi,DrefQuila
BZRP Tour,Cazzu
Super Bass Tour,Nicki Minaj
Quedate,Quevedo
La Gasolina,Daddy Yankee
R3hab live show,R3hab
CLARITY,Kesha
Cerca de ti,Tiago PZK
Say you wont let go,James Arthur
Twelve Carat Tour,Post Malone
Belinda Comeback,Belinda
Anastasia,Cami
AgendaMusic,Ozuna
Disney Concert,Olivia Rodrigo
WAP,Cardi B
CLARITY,Zedd
Passionfruit,Drake
Fourplan Event,Beele
Get Jacked,Afrojack
DJs Apoyando a Chile,Afrojack
Voyage,ABBA
AgendaMusic,Farruko
One Night Only,Bee Gees
DISCOTEKA,Lola Indigo
Rio Concert,Anuel AA
Bangerz,Miley Cyrus
La Criminal,Natti Natasha
Mami Tour,Paloma Mami
Map of the Soul,BTS
Rio Concert,Justin Bieber
A7S Show,A7S
Nobody like you,Nicki Nicole
BZRP Tour,Paulo Londra
How do you sleep,Sam Smith
Lotto,EXO
Phoenix Show,Rita Ora
Myrad,Nicky Romero
Sub Focus,Coldplay
"Young, Dumb and Broke",Khalid
S.U.N.O,Pablo Chill-E
EQILIBRIO,Polima Westcoast
DJ Snake,DJ Snake
The After Hours,The Weeknd
Sin Despertar,Kudai
El negrito ojos claros,Ozuna
Papi Juancho,Maluma
Sueño Stereo,Soda Stereo
One Vision of Queen,Queen
Perfect All Experimenters,Anitta
The Joshua Tree,U2
BZRP Tour,Snow
Concha Acústica UC 2022,Jordan 23
The E.N.D World,Black Eyed Peas
Step by Step,New Kids on the Block
BZRP Tour,Nicki Nicole
LOS APARATOS,Trueno
La leyenda,Gustavo Cerati
Caminemos de la Mano 2016,Pailita
Desesperados,Rauw Alejando
Real Scene,Big Bang
Entre Nosotros,Tiago PZK
Me Veras Volver,Soda Stereo
DJs Apoyando a Chile,Hardwell
Fine Line,Harry Styles
Disney Concert,Justin Bieber
Heartbreak Weather,Niall Horan
Oh How,Eagles
El amor despues del amor,Fito Paez
Flicker,Niall Horan
Show Forest,5 Seconds of Summer
1989,Taylor Swift
Beto Cuevas,Beto Cuevas
Perfect Specacular Paradise,Alan Walker
Ko Ko Pop,EXO
WAR,U2
Shivers,Ed Sheeran
Mystere,Cirque du Solei
Rio Concert,Drake
Dont start now,Dua Lipa
Material Girl,Madonna
Hips dont lie,Shakira
QueenB,Beyonce
Plastic Hearts,Miley Cyrus
Bang Bang,Jessie J
Lively And Supreme,Armin Van Buuren
Lali Esposito: The Show,Lali Esposito
Salimo de Noche,Tiago PZK
Beyond Wonderland,Marshmello
Show Forest,One Direction
The Real Slim Shady,Eminem
Show Forest,Big Time Rush
Revelation Magic Everything,Afrojack
Heather,Conan Gray
EteSesh,Sech
AgendaMusic,Karol G
Concha Acústica UC 2022,Pailita
Disney Concert,Miley Cyrus
Ye,Kanye West
Super Freaky Girl,Nicki Minaj
Concha Acústica UC 2022,Pablo Chill-E
SongKick,Skrillex
Ultra Solo ,Pailita
BZRP Tour,Bizarrap
Schulz Forever,Robin Schulz
CLARITY,Diplo
Born this way,Lady Gaga
Rio Concert,Bad Bunny
Dia Cero,La Ley
La Ultima Vuelta,Daddy Yankee
Le Reve,Cirque du Solei
Concha Acústica UC 2022,Paloma Mami
Umbrella Concert,Rihanna
The Encounter,One Direction
El Duko2.0,Duki
KAWAII,Polima Westcoast
Rio Concert,Taylor Swift
Paramore,Paramore
Tomorrow Never Knows,The Beatles
Telepatia,Nathy Peluso
PlanAhead,Alesso
Big Time,Big Time Rush
MMM Bop,Hansen
Five Day,Pearl Jam
Fruta y te,Gepe
Dolby Live,Aerosmith
Tusa,Nicki Minaj
Frozen,Madonna
El Alfa Tour,El Alfa
Reputation,Taylor Swift
MJ Tribute,Michael Jackson
FULL PIOLI,Pablo Chill-E
Fourplan Event,Cris MJ
Same old love,Selena Gomez
Convencete,Princesa Alba
Bigger than me,Louis Tomlinson
Alpha Eventalist,Duncan Laurence
Young Flex,Khea
Nicky Jam Show,Nicky Jam
Big E Party Moment,New Kids on the Block
Natural,Selena Gomez
Fourplan Mania,Duncan Laurence
JLo,Jennifer Lopez
CLARITY,Robin Schulz
Eventage Feasts,Doja Cat
I Used to Think I could Fly,Tate McRae
Que oso,Snow
Everybody,Madonna
Shape of you,Ed Sheeran
CARAVANA,Wos
AgendaMusic,Becky G
Golden,Harry Styles
Roads Time,Daft Punk
RBD the comeback,RBD
Talking to the moon,Bruno Mars
Disney Concert,Demi Lovato
TJB,Jonas Brothers 
DJs Apoyando a Chile,David Guetta
Concha Acústica UC 2022,Marcianeke
Younger now,Miley Cyrus
Treat you better,Shawn Mendes
Habana ,Camila Cabello
I Aint Worried,One Republic
Disney Concert,Selena Gomez
Kill my mind,Louis Tomlinson
Best Part,Daniel Caesar
Maria Becerra,Maria Becerra
Como si no importara,Duki
ShoNuf Lucky,Hardwell
El Duko,Duki
How do you sleep,San Smith
Fourplan Event,Luar La L
El Ultimo Concierto,Soda Stereo
Gowlding,Ellie Gowlding
Tren al Sur,Los Prisioneros
RUNAWAY,Bon Jovi
Todo Cambia,Mercedes Sosa
Watch out for this,Major Lazer
Seize The Day,My Chemical Romance
Dangerous Woman,Ariana Grande
Fourplan Event,Tini Stoessel
La Ultima Mision,Wisin & Yandel
Drivers License Tour,Olivia Rodrigo
Rio Concert,Maria Becerra
Michael Jackson Tribute,Michael Jackson
The Misery,Imagine Dragons
El J23,Jordan 23
